study_type,poverty_context,mechanism,behavior,title,date
"Observational, Cross-sectional","Low resource level, Resource volatility, Physical environment","Anxiety, Stress","Consumption, Food diet","Examination of Urban Agriculture Contribution to the Household Livelihood Outcome the Case of Bahir Dar City, Ethiopia",2020
"Observational, Cross-sectional","Low resource level, Human capital inputs","Locus of control, Self-efficacy",Labor Supply,Working while on a disability pension in Finland: Association of diagnosis and financial factors to employment,2018
"Observational, Cross-sectional","Low resource level, Resource volatility","Stress, Internalized stigma, Locus of control","Consumption, Saving",Housing Planning for Lower Income Cities with Sustainable Development Approach in Mehregan Township of Mashhad Metropolis,2020
"Observational, Cross-sectional",Low resource level,"Self-efficacy, Time preferences","Occupational choice, Investing","ENTREPRENEURSHIP EDUCATION AND MANAGERIAL COMPETENCE AMONG SMES IN ANAMBRA STATE, NIGERIA",2020
"Observational, Systematic review","Low resource level, Human capital inputs","Attention, Working memory",Food diet,The Intersection Between Food Literacy and Sustainability: A Systematic Quantitative Literature Review,2025
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Social environment","Stress, Aspirations, Self esteem","Consumption, Educational achievement",THE FADING DREAM OF RETIREMENT: SOCIAL AND FINANCIAL CONSIDERATIONS AFFECTING THE RETIREMENT DECISION,2008
Observational,Low resource level,"Locus of control, Self-efficacy, Risk preferences",Occupational choice,Entrepreneurial characteristics among university students: Implications for entrepreneurship education and training in Pakistan,2013
"Observational, Interviews","Low resource level, Resource volatility",Aspirations,Labor Supply,Cash For Work? Extreme Poverty Solutions Based on Sustainable Development,2020
"Observational, Cross-sectional",Low resource level,Stress,"Consumption, Food diet",Substance Use Among Residents of Homeless Shelters During the COVID-19 Pandemic: Findings From France,2022
Observational,"Low resource level, Human capital inputs","Self-efficacy, Executive function","Educational achievement, Insufficient info",Chinese migrant children’s mental health and career efficacy: the roles of mentoring relationship quality and self-efficacy,2011
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress",Crime,"HIV transmission as a form of gender-based violence: Experiences of women in Tigray, Ethiopia",2015
"Observational, Interviews",Low resource level,Self-efficacy,Consumption,"تصمیم ""الأدفرجیم"" کأداة للمشارکة فی حملات التوعیة",2021
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress",Crime,"‘When you talk to someone in a bad way or always put her under pressure, it is actually worse than beating her’: Conceptions and experiences of emotional intimate partner violence in Rwanda and South Africa",2019
"Observational, Cross-sectional","Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,Wealth and learning achievement of pupils in primary schools in Uganda: Implications for government economic empowerment programs,2024
"Observational, Cross-sectional","Low resource level, Human capital inputs","Self-efficacy, Time preferences","Consumption, Investing","Determinants of Income Inequality Sources among Women in Rural Oyo State, Nigeria",2024
"Observational, Case-study, First-hand observations","Low resource level, Social environment","Anxiety, Stress",Crime,‘I thought people would be mean and shout.’ Introducing the Hobbema Community Cadet Corps: a response to youth gang involvement?,2010
Randomized (controlled) trial,Low resource level,Aspirations,Educational achievement,Conditional Cash Transfers and College Persistence: Evidence from a Randomized Need‐Based Grant Program,2011
"Observational, Ethnography","Low resource level, Social environment",Internalized stigma,"Family interaction, Parenting",The Family on Reality Television: Who’s Shaming Whom?,2010
Observational,Low resource level,"Aspirations, Self-efficacy",Saving,"Crossfire: Microfinance can serve the very poor, but does it?",2018
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress",Family interaction,Do No Harm in refugee humanitarian aid: the case of the Rohingya humanitarian response,2021
"Difference-in-difference, Observational, Cross-sectional","Low resource level, Physical environment","Stress, Insufficient info","Consumption, Food diet",Changes in Sugary Beverage Consumption and Public Perceptions in Upstate New York After Implementation of a Community Awareness Campaign and Healthier Vending Strategies,2018
"Observational, Case-study, Interviews",Low resource level,Self-efficacy,"Consumption, Investing",Islamic Philanthropy Institutions and Economic Empowerment of the People,2022
"Observational, Interviews","Low resource level, Social environment","Happiness, Stress",Family interaction,Local Perspective of Housewife Women on Subjective Family Welfare,2021
"Observational, Interviews","Low resource level, Social environment","Self-efficacy, Aspirations","Consumption, Occupational choice",WOMEN'S EMPOWERMENT THROUGH WASTE RECYCLING AS AN IMPLEMENTATION OF GREEN ECONOMY AT CV. WITAMA PLASTINDO,2024
"Difference-in-difference, Observational","Low resource level, Resource volatility","Aspirations, Self-efficacy",Educational achievement,"Expectations of Educational Continuity among Beneficiary Families of the Indonesian Conditional Cash Transfer (PKH): A Case Study in Tabuan Island, Tanggamus Regency",2023
"Observational, Longitudinal / Panel","Low resource level, Physical environment","Stress, Self-efficacy",Medication adherence,"Gender-Based Violence and Adherence to Anti-Retroviral Therapy among Hiv-Infected Women Attending Care and Treatment Clinic, Mbeya Region 2017",2019
"Observational, Interviews",Low resource level,"Self-efficacy, Risk preferences","Borrowing, Consumption, Investing","Reaching and Empowering Women: Towards a Gender Justice Protocol for a Diversified, Inclusive, and Sustainable Financial Sector",2010
"Observational, Cross-sectional",Low resource level,Time preferences,Occupational choice,Wage Inequality and Returns to Education in Turkey: A Quantile Regression Analysis,2012
"Observational, Cross-sectional",Low resource level,Aspirations,"Consumption, Investing",Good is Good for Everybody: The Similarities of Corporate Governance across Faiths,2016
Observational,Low resource level,"Stress, Executive function","Consumption, Medication adherence",Household Food Insecurity and the Association with Cumulative Biological Risk among Lower-Income Adults: Results from the National Health and Nutrition Examination Surveys 2007–2010,2020
Observational,Social environment,"Attention, Cognitive flexibility",Investing,Evidence of direct and indirect reciprocity in network-structured economic games,2024
"Observational, Cross-sectional","Low resource level, Social environment",Self esteem,Educational achievement,Social support provisions as differential predictors of adaptive outcomes in young adolescents,2008
"Observational, Systematic review","Low resource level, Social environment","Aspirations, Locus of control","Consumption, Saving","Social Protection for the Poor and Poorest: Concepts, Policies and Politics",2012
Cross-sectional,Low resource level,Anxiety,Medication adherence,"Beck Anxiety Inventory: A Correlation of Social and Obstetric Factors in High-Risk Pregnant Women in Recife, PE, Brazil",2020
"Observational, Interviews, Focus groups",Social environment,"Anxiety, Stress",Family interaction,Creating organizational structures to facilitate collegial interaction among teachers,2017
"Observational, Interviews","Low resource level, Physical environment",Stress,Food diet,Systemic Barriers and Equitable Interventions to Improve Vegetable and Fruit Intake in Children: Interviews with National Food System Actors,2019
Observational,Low resource level,"Attention, Cognitive flexibility, Executive control",Labor Supply,The Effects of Temperature on Labor Productivity,2023
